Afghanistan;AFG;Afghani;AFA
Albania;ALB;Lek;ALL
Algeria;DZA;Algerian Dinar;DZD
American Samoa;ASM;U.S. Dollar;USD
Andorra;AND;Euro;EUR
Angola;AGO;Kwanza;AOA
Anguilla;AIA;E.Caribbean Dollar;XCD
Antarctica;ATA;Norwegian Krone;NOK
Antigua and Barbuda;ATG;E.Caribbean Dollar;XCD
Argentina;ARG;Argentine Peso;ARS
Armenia;ARM;Armenian Dram;AMD
Aruba;ABW;Aruban Guilder;AWG
Australia;AUS;Australian Dollar;AUD
Austria;AUT;Euro;EUR
Azerbaijan;AZE;Azerbaijan Manat;AZM
Bahamas;BHS;Bahamian Dollar;BSD
Bahrain;BHR;Bahraini Dinar;BHD
Bangladesh;BGD;Taka;BDT
Barbados;BRB;Barbados Dollar;BBD
Belarus;BLR;Belarussian Ruble;BYR
Belgium;BEL;Euro;EUR
Belize;BLZ;Belize Dollar;BZD
Benin;BEN;CFA Franc BCEAO;XOF
Bermuda;BMU;Bermudian Dollar;BMD
Bhutan;BTN;Indian Rupee;INR
Bolivia;BOL;Boliviano;BOB
Bosnia and Herzegovina;BIH;Bosnian Convertible Mark;BAM
Botswana;BWA;Pula;BWP
Bouvet Is.;BVT;Norwegian Krone;NOK
Brazil;BRA;Brazilian Real;BRL
British Indian Ocean Territory;IOT;U.S. Dollar;USD
British Virgin Is.;VGB;U.S. Dollar;USD
Brunei Darussalam;BRN;Brunei Dollar;BND
Bulgaria;BGR;Bulgarian Lev;BGN
Burkina Faso;BFA;CFA Franc BCEAO;XOF
Burundi;BDI;Burundi Franc;BIF
Cambodia;KHM;Riel;KHR
Cameroon United Republic of;CMR;CFA Franc BEAC;XAF
Canada;CAN;Canadian Dollar;CAD
Cape Verde Is.;CPV;Cape Verde Escudo;CVE
Cayman Is.;CYM;Cayman Is. Dollar;KYD
Central African Republic;CAF;CFA Franc BEAC;XAF
Chad;TCD;CFA Franc BEAC;XAF
Chile;CHL;Chilean Peso;CLP
China;CHN;Yuan Renminbi;CNY
Christmas Is.;CXR;Australian Dollar;AUD
Cocos (Keeling) Is.;CCK;Australian Dollar;AUD
Colombia;COL;Colombian Peso;COP
Comoros;COM;Comoro Franc;KMF
Congo;COG;CFA Franc BEAC;XAF
Cook Is.;COK;New Zealand Dollar;NZD
Costa Rica;CRI;Costa Rican Colon;CRC
Côte d’Ivoire (Ivory Coast);CIV;CFA Franc BCEAO;XOF
Croatia;HRV;Croatian Kuna;HRK
Cuba;CUB;Cuban Peso;CUP
Cyprus;CYP;Cyprus Pound;CYP
Czech Republic;CZE;Czech Koruna;CZK
Democratic Republic of the Congo (formerly Zaire);COD;Franc Congolais (formerly New Zaire);CDF
Denmark;DNK;Danish Krone;DKK
Djibouti;DJI;Djibouti Franc;DJF
Dominica;DMA;E.Caribbean Dollar;XCD
Dominican Rep.;DOM;Dominican Peso;DOP
East Timor;TMP;Timor Escudo;TPE
Ecuador;ECU;Sucre;ECS
Egypt;EGY;Egyptian Pound;EGP
El Salvador;SLV;U.S. Dollar;USD
Equatorial Guinea;GNQ;CFA Franc BEAC;XAF
Eritrea;ERI;Eritean Nakfa;ERN
Estonia;EST;Kroon;EEK
Ethiopia;ETH;Ethiopian Birr;ETB
European Monetary Cooperation Fund;--;European Currency Unit;XEU
European Union;--;Euro;EUR
Faeroe Is.;FRO;Danish Krone;DKK
Falkland Is. (Malvinas);FLK;Falkland Is. Pound;FKP
Fiji;FJI;Fiji Dollar;FJD
Finland;FIN;Euro;EUR
France;FRA;Euro;EUR
France Metropolitan;FXX;Euro;EUR
French Guiana;GUF;Euro;EUR
French Polynesia;PYF;CFP Franc;XPF
French Southern Territory;ATF;Euro;EUR
Gabon;GAB;CFA Franc BEAC;XAF
Gambia;GMB;Dalasi;GMD
Georgia;GEO;Georgian Lari;GEL
Germany;DEU;Deutsche Mark;DEM
Ghana;GHA;Cedi;GHC
Gibraltar;GIB;Gibraltar Pound;GIP
Greece;GRC;Euro;EUR
Greenland;GRL;Danish Krone;DKK
Grenada;GRD;E.Caribbean Dollar;XCD
Guadeloupe;GLP;Euro;EUR
Guam;GUM;U.S. Dollar;USD
Guatemala;GTM;Quetzal;GTQ
Guinea;GIN;Guinea Franc;GNF
Guinea—Bissau;GNB;Guinea-Bissau Peso;GWP
Guyana;GUY;Guyana Dollar;GYD
Haiti;HTI;Gourde;HTG
Heard and McDonald Is.;HMD;Australian Dollar;AUD
Holy See (Vatican City State);VAT;Euro;EUR
Honduras;HND;Lempira;HNL
Hong Kong China;HKG;Hong Kong Dollar;HKD
Hungary;HUN;Forint;HUF
Iceland;ISL;Iceland Krona;ISK
India;IND;Indian Rupee;INR
Indonesia;IDN;Rupiah;IDR
Iran Airlines;--;Iranian Airline Rate;IRA
Iran Islamic Republic of;IRN;Iranian Rial;IRR
Iraq;IRQ;Iraqi Dinar;IQD
Ireland Republic of;IRL;Euro;EUR
Israel;ISR;New Israeli Shekel;ILS
Italy;ITA;Euro;EUR
Jamaica;JAM;Jamaican Dollar;JMD
Japan;JPN;Yen;JPY
Jordan;JOR;Jordanian Dinar;JOD
Kazakhstan;KAZ;Tenge;KZT
Kenya;KEN;Kenyan Shilling;KES
Kiribati;KIR;Australian Dollar;AUD
Korea Democratic People’s Republic of (North Korea);PRK;North Korean Won;KPW
Korea Republic of;KOR;Won;KRW
Kuwait;KWT;Kuwaiti Dinar;KWD
Kyrgyzstan;KGZ;Som;KGS
Lao People’s Democratic Republic;LAO;Kip;LAK
Latvia;LVA;Latvian Lats;LVL
Lebanon;LBN;Lebanese Pound;LBP
Lesotho;LSO;Rand;ZAR
Liberia;LBR;Liberian Dollar;LRD
Libyan Arab Jamahiriya;LBY;Libyan Dinar;LYD
Liechtenstein;LIE;Swiss Franc;CHF
Lithuania;LTU;Lithuanian Litas;LTL
Luxembourg;LUX;Euro;EUR
Macau China;MAC;Pataca;MOP
Macedonia the Former Yugoslav Republic of;MKD;Denar;MKD
Madagascar;MDG;Malagasy Franc;MGF
Malawi;MWI;Malawi Kwacha;MWK
Malaysia;MYS;Malaysian Ringgit;MYR
Maldives;MDV;Rufiyaa;MVR
Mali;MLI;CFA Franc BCEAO;XOF
Malta;MLT;Maltese Lira;MTL
Marshall Islands;MHL;U.S. Dollar;USD
Martinique;MTQ;Euro;EUR
Mauritania;MRT;Ouguiya;MRO
Mauritius;MUS;Mauritius Rupee;MUR
Mayotte;MYT;Euro;EUR
Mexico;MEX;Mexican Peso;MXN
Micronesia;FSM;U.S. Dollar;USD
Moldova Republic of;MDA;Moldovan Leu;MDL
Monaco;MCO;Euro;EUR
Mongolia;MNG;Tugrik;MNT
Montenegro;--;Yugoslavian New Dinar;YUM
Montserrat;MSR;E.Caribbean Dollar;XCD
Morocco;MAR;Moroccan Dirham;MAD
Mozambique;MOZ;Metical;MZM
Myanmar;MMR;Kyat;MMK
Namibia;NAM;Namibia Dollar;NAD
Nauru;NRU;Australian Dollar;AUD
Nepal;NPL;Nepalese Rupee;NPR
Netherlands;NLD;Euro;EUR
Netherlands Antilles;ANT;Nether. Antillian Guilder;ANG
New Caledonia;NCL;CFP Franc;XPF
New Zealand;NZL;New Zealand Dollar;NZD
Nicaragua;NIC;Cordoba Oro;NIO
Niger;NER;CFA Franc BCEAO;XOF
Nigeria;NGA;Naira;NGN
Niue;NIU;New Zealand Dollar;NZD
Norfolk Is.;NFK;Australian Dollar;AUD
Northern Mariana Islands;MNP;U.S. Dollar;USD
Norway;NOR;Norwegian Krone;NOK
Oman;OMN;Rial Omani;OMR
Pakistan;PAK;Pakistan Rupee;PKR
Palau;PLW;U.S. Dollar;USD
Panama;PAN;Balboa;PAB
Papua New Guinea;PNG;Kina;PGK
Paraguay;PRY;Guarani;PYG
Peru;PER;Nuevo Sol;PEN
Philippines;PHL;Philippine Peso;PHP
Pitcairn;PCN;New Zealand Dollar;NZD
Poland;POL;Polish New Zloty;PLN
Portugal;PRT;Euro;EUR
Puerto Rico;PRI;U.S. Dollar;USD
Qatar;QAT;Qatari Rial;QAR
Reunion;REU;Euro;EUR
Romania;ROM;Leu;ROL
Russian Federation;RUS;Russian Ruble (International);RUB
Rwanda;RWA;Rwanda Franc;RWF
Samoa;WSM;Tala;WST
San Marino;SMR;Euro;EUR
Sao Tome and Principe;STP;Dobra;STD
Saudi Arabia;SAU;Saudi Riyal;SAR
Senegal;SEN;CFA Franc BCEAO;XOF
Seychelles;SYC;Seychelles Rupee;SCR
Sierra Leone;SLE;Leone;SLL
Singapore;SGP;Singapore Dollar;SGD
Slovakia;SVK;Slovak Koruna;SKK
Slovenia;SVN;Tolar;SIT
So. Georgia and So. Sandwich Is.;SGS;Pound Sterling;GBP
Solomon Is.;SLB;Solomon Is. Dollar;SBD
Somalia;SOM;Somali Shilling;SOS
South Africa;ZAF;Rand;ZAR
Spain;ESP;Euro;EUR
Sri Lanka;LKA;Sri Lanka Rupee;LKR
St. Helena;SHN;St. Helena Pound;SHP
St. Kitts-Nevis;KNA;E.Caribbean Dollar;XCD
St. Lucia;LCA;E.Caribbean Dollar;XCD
St. Pierre and Miquelon;SPM;Euro;EUR
St. Vincent and The Grenadines;VCT;E.Caribbean Dollar;XCD
Sudan;SDN;Sudanese Pound;SDD
Sudan Airlines;--;Sudan Airline Rate;SDA
Suriname;SUR;Surinam Guilder;SRG
Svalbard and Jan Mayen Is.;SJM;Norwegian Krone;NOK
Swaziland;SWZ;Lilangeni;SZL
Sweden;SWE;Swedish Krona;SEK
Switzerland;CHE;Swiss Franc;CHF
Syrian Arab Rep.;SYR;Syrian Pound;SYP
Taiwan;TWN;New Taiwan Dollar;TWD
Tajikistan;TJK;Somoni;TJS
Tanzania United Republic of;TZA;Tanzanian Shilling;TZS
Thailand;THA;Thailand Baht;THB
Togo;TGO;CFA Franc BCEAO;XOF
Tokelau;TKL;New Zealand Dollar;NZD
Tonga;TON;Pa’anga;TOP
Trinidad and Tobago;TTO;Trinidad and Tobago Dollar;TTD
Tunisia;TUN;Tunisian Dinar;TND
Turkey;TUR;Turkish Lira;TRL
Turkmenistan;TKM;Manat;TMM
Turks and Caicos Is.;TCA;U.S. Dollar;USD
Tuvalu;TUV;Australian Dollar;AUD
U.S. Minor Outlying Islands;UMI;U.S. Dollar;USD
U.S. Virgin Is.;VIR;U.S. Dollar;USD
Uganda;UGA;Uganda Shilling;UGX
Ukraine;UKR;Ukrainian Hryvnia;UAH
United Arab Emirates;ARE;U.A.E. Dirham;AED
United Kingdom;GBR;Pound Sterling;GBP
United States;USA;U.S. Dollar;USD
Uruguay;URY;Peso Uruguayo;UYU
Uzbekistan;UZB;Uzbekistan Sum;UZS
Vanuatu;VUT;Vatu;VUV
Venezuela;VEN;Bolivar;VEB
Vietnam;VNM;Dong;VND
Wallis and Futuna Is.;WLF;CFP Franc;XPF
Western Sahara;ESH;Moroccan Dirham;MAD
Yemen;YEM;Yemeni Rial;YER
Yugoslavia;YUG;Yugoslavian New Dinar;YUM
Zambia;ZMB;Zambian Kwacha;ZMK
Zimbabwe;ZWE;Zimbabwe Dollar;ZWD